utcdatetime,volume,quoteVolume,high,low,timestamp,close,weightedAverage,open
2016-10-06 16:00:00,5.53507055,7490712.60626,7.5e-07,7.3e-07,1475769600.0,7.3e-07,7.3e-07,7.3e-07
2016-10-06 20:00:00,1.57024992,2128514.33244,7.5e-07,7.3e-07,1475784000.0,7.4e-07,7.3e-07,7.3e-07
2016-10-07 00:00:00,4.14027177,5535362.38051,7.6e-07,7.3e-07,1475798400.0,7.6e-07,7.4e-07,7.4e-07
2016-10-07 04:00:00,0.57367537,771905.00016,7.6e-07,7.4e-07,1475812800.0,7.4e-07,7.4e-07,7.5e-07
2016-10-07 08:00:00,11.51924921,15823228.4041,7.5e-07,7.2e-07,1475827200.0,7.3e-07,7.2e-07,7.4e-07
2016-10-07 12:00:00,14.42440725,19822118.9914,7.5e-07,7.2e-07,1475841600.0,7.3e-07,7.2e-07,7.4e-07
2016-10-07 16:00:00,2.180642,2970799.03605,7.4e-07,7.3e-07,1475856000.0,7.3e-07,7.3e-07,7.3e-07
2016-10-07 20:00:00,0.79807345,1093139.96898,7.4e-07,7.3e-07,1475870400.0,7.3e-07,7.3e-07,7.3e-07
2016-10-08 00:00:00,2.17450172,2970488.99001,7.4e-07,7.3e-07,1475884800.0,7.3e-07,7.3e-07,7.3e-07
2016-10-08 04:00:00,2.56004292,3519175.38128,7.4e-07,7.2e-07,1475899200.0,7.2e-07,7.2e-07,7.4e-07
2016-10-08 08:00:00,7.97239436,10922624.9434,7.4e-07,7.2e-07,1475913600.0,7.3e-07,7.2e-07,7.3e-07
2016-10-08 12:00:00,5.58779925,7743770.29549,7.3e-07,7.1e-07,1475928000.0,7.1e-07,7.2e-07,7.3e-07
2016-10-08 16:00:00,1.62957052,2259500.62914,7.3e-07,7.1e-07,1475942400.0,7.2e-07,7.2e-07,7.1e-07
2016-10-08 20:00:00,1.62106152,2232534.90598,7.3e-07,7.2e-07,1475956800.0,7.2e-07,7.2e-07,7.2e-07
2016-10-09 00:00:00,7.59044487,10548580.4591,7.4e-07,7.1e-07,1475971200.0,7.2e-07,7.1e-07,7.3e-07
2016-10-09 04:00:00,2.04063665,2833268.47512,7.3e-07,7.2e-07,1475985600.0,7.2e-07,7.2e-07,7.2e-07
2016-10-09 08:00:00,17.41606258,23816684.491,7.5e-07,7.1e-07,1476000000.0,7.3e-07,7.3e-07,7.2e-07
2016-10-09 12:00:00,4.85081094,6722207.47565,7.4e-07,7.2e-07,1476014400.0,7.2e-07,7.2e-07,7.3e-07
2016-10-09 16:00:00,4.85181537,6687982.05487,7.4e-07,7.2e-07,1476028800.0,7.2e-07,7.2e-07,7.2e-07
2016-10-09 20:00:00,1.31957706,1812383.06633,7.4e-07,7.2e-07,1476043200.0,7.3e-07,7.2e-07,7.2e-07
2016-10-10 00:00:00,1.5812524,2179705.28714,7.4e-07,7.2e-07,1476057600.0,7.2e-07,7.2e-07,7.3e-07
2016-10-10 04:00:00,17.00413313,23565715.0443,7.4e-07,7.1e-07,1476072000.0,7.1e-07,7.2e-07,7.2e-07
2016-10-10 08:00:00,7.27224625,10150188.5134,7.3e-07,7.1e-07,1476086400.0,7.3e-07,7.1e-07,7.1e-07
2016-10-10 12:00:00,18.62393072,24933177.3719,7.7e-07,7.1e-07,1476100800.0,7.5e-07,7.4e-07,7.3e-07
2016-10-10 16:00:00,9.1569705,12146589.462,7.7e-07,7.4e-07,1476115200.0,7.5e-07,7.5e-07,7.5e-07
2016-10-10 20:00:00,11.58290072,15713508.9058,7.7e-07,7.3e-07,1476129600.0,7.3e-07,7.3e-07,7.5e-07
2016-10-11 00:00:00,31.41211638,43457521.0393,7.5e-07,7.1e-07,1476144000.0,7.2e-07,7.2e-07,7.3e-07
